name,unit
اسفيت,باكيت
اسيباز(100مل),علبه
اسيبان 50%,1 لتر
اسيدازيم,1 لتر
اسيملتوكس,1 كغم
اسيميت,1 لتر
اسينابير,1 لتر
اصل خيار COMBYNE,باكيت 500 بذرة
اصل خيار FORTYNE,باكيت
افالوكس,باكيت
اكتوماكس,1 لتر
اكسيون,باكيت (1/2 كغم)
التاماتركس (اكويشن),علبه
الجاشيفو,5 لتر
السيستين(سائل),علبه
امارانث 85%,1 كغم
امستار توب,1 لتر
امونياك بالات جامبو,طن
امونياك بلجيكي IQA,شوال (25كغم )
امير 5%,1 كغم
اميزول 5%,1 لتر
اميزول(250مل),علبه
امينو كوبر(نحاس عضوي),1 كغم
انتراكيور(Pyriproxyfen(,1 لتر
انجوردي,1 لتر
انفاتون(باكيت),باكيت
انهانسر,علبه
انوندا,1 كغم
اوكزانيم,1 لتر
اويل,1 لتر
اي كيو كومبي,1 كغم
ايبرن فلاش K,جالون20لتر
ايبو ستار 48%,5 لتر
ايبوستار (عبوة 20لتر),جالون20لتر
ايماسايد,علبه
اينفورس بلص,1 لتر
اينفورس بلص ++,1 لتر
آرفيكا,1 لتر
بادوفا,باكيت
باروك,علبه
بارون (كلوروبيرفوس),1 لتر
بافلينا (بينكونازول 10%),1 لتر
باك جرو (100 مل),علبه
باكجرو(Spinosad 48%),علبه
باور(سايبرمثرين10%),1 لتر
بايرس,1 لتر
بايروميت,1 كغم
بايفيدان سائل,1 لتر
بذور  Red Sweet Kapya BELLISA RZ,باكيت 1000 بذرة
بذور African Hot pepper 902-93 RZ,باكيت 1000 بذرة
بذور Baby Leaf(LIDIVIA),باكيت 100.000 بذرة
بذور Baby Leaf(LUNAVIA),باكيت 100.000 بذرة
بذور Endive KORBI,باكيت 5000 بذرة
بذور Kale KARILLO RZ,باكيت 1000 بذرة
بذور kohlrabi UKZA,باكيت 2500 بذرة
بذور Kohlrabi( Eder RZ),باكيت 2500 بذرة
بذور Orange Kapia HOLLANDISA RZ,باكيت 1000 بذرة
بذور Sweet Palermo OBEDIUS RZ,باكيت 1000 بذرة
بذور SWEET Palermo YOSEMITE RZ,باكيت 1000 بذرة
بذور sweet pepper Palermo RZ,باكيت 1000 بذرة
بذور Swiss Chard(CHARLIE),باكيت 100.000 بذرة
بذور White Cabbage  CILEMA RZ,باكيت 2500 بذرة
بذور Yellow Kapia GOLDISA RZ,باكيت 1000 بذرة
بذور اصل BASCO,باكيت
بذور اصل بطيخ Ferro RZ,باكيت 1000 بذرة
بذور اصل بطيخ ROOTSTOCK PANAMA,باكيت
بذور اصل خيار AFFYNE RZ,باكيت 1000 بذرة
بذور اصول باذنجان KING KONG,باكيت 1000 بذرة
بذور اصول بندورة MONSTRO,باكيت 1000 بذرة
بذور اصول بندوره Embajador,باكيت 1000 بذرة
بذور اصول فلفل BEDROCK,باكيت 1000 بذرة
بذور باذنجان LEIRE,باكيت 1000 بذرة
بذور باذنجان MACACHA,باكيت 1000 بذرة
بذور باذنجان NICKY RZ,باكيت 1000 بذرة
بذور باذنجان Sally RZ,باكيت 1000 بذرة
بذور باذنجان صنف Cheryl,باكيت 1000 بذرة
بذور بروكلي VICARIO,باكيت 2500 بذرة
بذور بصل  Fundodar,باكيت
بذور بصل Aida,باكيت
بذور بصل Attika (2506),باكيت
بذور بصل BAHER,1 كغم
بذور بصل CRX 2475,باكيت
بذور بصل CRX 2509,باكيت
بذور بصل CRX 3720,باكيت
بذور بصل CRX2522,باكيت
بذور بصل DIVINSTAR,باكيت
بذور بصل KAREEM,1 كغم
بذور بصل KHALIFER,باكيت
بذور بصل LAMAR,باكيت
بذور بصل lirica,باكيت
بذور بصل Lisa,باكيت
بذور بصل Magica(2474),باكيت
بذور بصل STINGRAY,باكيت
بذور بصل ابيض DIAMANT,باكيت
بذور بصل ابيض Winter Snow(1945),1 كغم
بذور بطيخ ALGHAZI,باكيت
بذور بطيخ ALTATA RZ,باكيت 500 بذرة
بذور بطيخ Baronesa,باكيت 1000 بذرة
بذور بطيخ CONGUITA RZ,باكيت 1000 بذرة
بذور بطيخ CORELLANA,باكيت 1000 بذرة
بذور بطيخ Gatinho RZ,باكيت 1000 بذرة
بذور بطيخ JAMBO,باكيت 1000 بذرة
بذور بطيخ MIRAMPELLO RZ,باكيت 1000 بذرة
بذور بطيخ RAMBO,باكيت 1000 بذرة
بذور بطيخ TIGRINHO(62-301,باكيت 1000 بذرة
بذور بطيخ Tropical sunshine RZ,باكيت 1000 بذرة
بذور بطيخ WATERMELON SAMBA,باكيت
بذور بطيخ WATERMLON FIESTA,باكيت
بذور بطيخ اسود CRX 10510,باكيت 1000 بذرة
بذور بندورة Bonta,باكيت 1000 بذرة
بذور بندورة cluster BO7322,باكيت 1000 بذرة
بذور بندورة GIACOMO بلحية كبيرة,باكيت 1000 بذرة
بذور بندورة Grazioso,باكيت 1000 بذرة
بذور بندورة Guindo cherry,باكيت 1000 بذرة
بذور بندورة Guttier,باكيت 1000 بذرة
بذور بندورة Hemicora,باكيت 1000 بذرة
بذور بندورة IDOLINE بلحية عناقيد,باكيت 1000 بذرة
بذور بندورة Maggino بلحية صفرا,باكيت 100بذرة
بذور بندورة MAYAR,باكيت 1000 بذرة
بذور بندورة MontenegroRZ,باكيت 1000 بذرة
بذور بندورة RAZOLO,باكيت
بذور بندورة Solarino بلحية حمرا,باكيت 1000 بذرة
بذور بندورة STARLOR,باكيت
بذور بندورة UYUM RZ,باكيت 1000 بذرة
بذور بندورة بلحية GIACOMO,باكيت 100بذرة
بذور بندورة بلحية PRIMARINO,باكيت 1000 بذرة
بذور بندورة بلحية TRAMBELLINO RZ,باكيت 1000 بذرة
بذور بندورة بيوت 224-74 RZ,باكيت 1000 بذرة
بذور بندورة بيوت IM0522,باكيت 1000 بذرة
بذور بندورة بيوت VEYRON,باكيت 500 بذرة
بذور بندورة بيوت صنف Fayrouz,باكيت 1000 بذرة
بذور بندورة عناقيد Myrador,باكيت 1000 بذرة
بذور بندورة عناقيد SUBITO RZ,باكيت 1000 بذرة
بذور بندورة كرزية NIXARTY,باكيت 1000 بذرة
بذور بندورة كرزية صنف Moscatel,باكيت 1000 بذرة
بذور بندورة كرزيةNANCY,باكيت 1000 بذرة
بذور بندوره  Caldino بلحية عناقيد,باكيت 100بذرة
بذور بندوره Farbini برتقالية بلحية,باكيت 1000 بذرة
بذور بندوره KAITO RZ(cluster509),باكيت 1000 بذرة
بذور بندوره Rugantino,باكيت 100بذرة
بذور بندوره دفنس,باكيت
بذور جرجير Wild Rocket(THEMISTO),باكيت 100.000 بذرة
بذور جزر BRYCE,باكيت
بذور جزر CRX 13383,باكيت
بذور جزر CRX 13384,باكيت
بذور جزر Fedra RZ,باكيت
بذور جزر JERADA RZ,باكيت 100.000 بذرة
بذور جزر LANCEROS CRX 13369,باكيت
بذور جزر YMER RZ,باكيت 100.000 بذرة
بذور جزر بيبي CROFTON RZ,باكيت 100.000 بذرة
بذور خس AMANDINE RZ,باكيت 5000 بذرة
بذور خس ARCHIVEL,باكيت 1000 بذرة
بذور خس Batavia(OTHILIE),باكيت 5000 بذرة
بذور خس Butter head REX,باكيت 5000 بذرة
بذور خس Cherokee,باكيت 5000 بذرة
بذور خس Concorde pelleted,باكيت 5000 بذرة
بذور خس Crunchy (CHICARITA),باكيت 5000 بذرة
بذور خس Galanti,باكيت 5000 بذرة
بذور خس Gem(BAMBI),باكيت 5000 بذرة
بذور خس Gem(TUDELA),باكيت 1000 بذرة
بذور خس GLADIUS RZ,باكيت 5000 بذرة
بذور خس Iceberg BRUMA,باكيت 5000 بذرة
بذور خس KOBUKA,باكيت 5000 بذرة
بذور خس KRISTINE,باكيت 5000 بذرة
بذور خس KRYOGENIA,باكيت 5000 بذرة
بذور خس LALIQUE RZ,باكيت 5000 بذرة
بذور خس LAMARRE,باكيت 5000 بذرة
بذور خس Leaf Lettuce (LEVISTRO RZ),باكيت 5000 بذرة
بذور خس LIMAMBO,باكيت 5000 بذرة
بذور خس Little Gem Rosaine RZ,باكيت 1000 بذرة
بذور خس LOCARNO,باكيت 5000 بذرة
بذور خس MAXIMUS,باكيت 5000 بذرة
بذور خس MAXIMUS SP,باكيت
بذور خس Mondaai,باكيت 5000 بذرة
بذور خس Nadine,باكيت 5000 بذرة
بذور خس oak leaf (KIREVE),باكيت 5000 بذرة
بذور خس ROUXAI RZ,باكيت 5000 بذرة
بذور خس SALANOVA BARLACH,باكيت 5000 بذرة
بذور خس salanova excavo,باكيت 5000 بذرة
بذور خس salanova EXPERTISE RZ,باكيت 5000 بذرة
بذور خس SUNGARI,باكيت 5000 بذرة
بذور خس VERSAI  Red Oak Leaf,باكيت 5000 بذرة
بذور خس احمر CARMOLI,باكيت 5000 بذرة
بذور خس احمر Concorde,باكيت 5000 بذرة
بذور خس ايسبرغ 44-IC9175,باكيت 5000 بذرة
بذور خس ايسبرغ Altozanas RZ,باكيت 5000 بذرة
بذور خس ايسبرغ Cartagenas RZ,باكيت 5000 بذرة
بذور خس ايسبرغ Finlandia RZ,باكيت 5000 بذرة
بذور خس ايسبرغ PATAGONIA,باكيت 5000 بذرة
بذور خس ايسبرغ Patagonia SP,باكيت 1000 بذرة
بذور خيار  FalconStar,باكيت 1000 بذرة
بذور خيار  Silyon RZ,باكيت 1000 بذرة
بذور خيار (19-Dream Fit (432,باكيت 1000 بذرة
بذور خيار AFILLI  RZ,باكيت 500 بذرة
بذور خيار baby 19-SP427,باكيت 1000 بذرة
بذور خيار EmirStar RZ(244),باكيت 1000 بذرة
بذور خيار FAYSTAR RZ,باكيت 1000 بذرة
بذور خيار Hero Star RZ,باكيت 1000 بذرة
بذور خيار SENYAL,باكيت 1000 بذرة
بذور خيار شوكي CHAIKOVSKIY,باكيت 1000 بذرة
بذور خيار شوكي GHERKIN,باكيت 100بذرة
بذور خيار شوكي Gherkin CHAIKOVSKIY RZ,باكيت 1000 بذرة
بذور خيار شوكي TRILOGY,باكيت 1000 بذرة
بذور خيار صنف Cengel,باكيت 1000 بذرة
بذور خيار صنف king Star,باكيت 1000 بذرة
بذور خيار صنف MultiStar,باكيت 1000 بذرة
بذور خيار صنف PowerStar,باكيت 1000 بذرة
بذور خيار صنف PrinceStar,باكيت 1000 بذرة
بذور خيارTRIPLE STAR RZ 22-MP263,باكيت 1000 بذرة
بذور ذرة صفراء Accentuate,باكيت 5000 بذرة
بذور ريحان CRX 4019,باكيت
بذور زهرة Brigant RZ,باكيت 2500 بذرة
بذور زهرة CA1049,باكيت
بذور زهرة Casper RZ,باكيت 2500 بذرة
بذور زهرة SHEREEN,باكيت 2500 بذرة
بذور زهرة اخضر Green Storm,باكيت 2500 بذرة
بذور زهرة اخضر VITAVERDE RZ,باكيت 2500 بذرة
بذور زهرة اصفر Clementine,باكيت 2500 بذرة
بذور زهرة بنفسجي Graffiti,باكيت 2500 بذرة
بذور زهرة بنفسجي PARMAC)Guttier,باكيت 1000 بذرة
بذور سبانخ KANGAROO,باكيت
بذور سبانخ SHRIKE RZ,باكيت 100.000 بذرة
بذور سبانخ SUNANGEL RZ,باكيت 25000 بذرة
بذور شمام AZILAL RZ,باكيت 1000 بذرة
بذور شمام BEYSON RZ,باكيت 1000 بذرة
بذور شمام FUJISAWA RZ,باكيت 1000 بذرة
بذور شمام MARSALIS RZ,باكيت 1000 بذرة
بذور شمام RICURA RZ,باكيت 5000 بذرة
بذور شمام SANVICENTE RZ,باكيت 500 بذرة
بذور شمندر LIBERO,باكيت 25000 بذرة
بذور فاصوليا FAIZA RZ,باكيت
بذور فاصوليا FAIZA RZ  عبوة 1000 بذرة,باكيت
بذور فاصوليا معلقة CRX 734,باكيت 1000 بذرة
بذور فجل ANGELUS,باكيت
بذور فجل ARLEY RZ,باكيت 25000 بذرة
بذور فجل ARTUS,باكيت
بذور فجل BACCHUS,باكيت
بذور فجل CIRCUS,باكيت
بذور فجل DIABLUS,باكيت
بذور فجل HORUS,باكيت
بذور فجل MIRABEAU,باكيت
بذور فجل NELSON,باكيت
بذور فلفل BALCANICA RZ,باكيت 1000 بذرة
بذور فلفل Briot RZ,باكيت 1000 بذرة
بذور فلفل Dolma DODDO RZ,باكيت 1000 بذرة
بذور فلفل Kapia صنف PRINCESSA,باكيت 1000 بذرة
بذور فلفل Novelist RZ,باكيت 1000 بذرة
بذور فلفل ORANGE TARTA RZ,باكيت 1000 بذرة
بذور فلفل Pyramis RZ,باكيت 1000 بذرة
بذور فلفل RED TATIN RZ,باكيت 1000 بذرة
بذور فلفل Rush RZ,باكيت 1000 بذرة
بذور فلفل YELLOW ZUPPA RZ,باكيت 1000 بذرة
بذور فلفل احمر TRIROSSO,باكيت 100بذرة
بذور فلفل اصفر BLOCKY HIPLET RZ,باكيت 1000 بذرة
بذور فلفل اصفر BY1197RagaRock,باكيت 1000 بذرة
بذور فلفل اصفر Reggaeton RZ,باكيت 1000 بذرة
بذور فلفل اصفر TRIYELLO,باكيت 100بذرة
بذور فلفل اصفر ZUMBA RZ,باكيت 1000 بذرة
بذور فلفل اورانج TRIORA RZ,باكيت 100بذرة
بذور فلفل بلوكي احمر Mazurka RZ,باكيت 1000 بذرة
بذور فلفل بلوكي اخضرV RED JET,باكيت 1000 بذرة
بذور فلفل حار ESCALA,باكيت 1000 بذرة
بذور فلفل حار NEMAFIRE,باكيت 1000 بذرة
بذور فلفل حار صنف Furnas,باكيت 1000 بذرة
بذور فلفل حلو 1192-35,باكيت 500 بذرة
بذور فلفل حلو LOUAY,باكيت 500 بذرة
بذور فلفل حلو Yatasto RZ,باكيت 1000 بذرة
بذور فلفل حلو Zirconio,باكيت 1000 بذرة
بذور فلفل حلو احمر CLAVESOL,باكيت 1000 بذرة
بذور فلفل حلو اصفر LIRICA,باكيت 1000 بذرة
بذور فلفل حلو اصفر SARAMBA,باكيت 1000 بذرة
بذور فلفل حلو برتقالي-ARNIDA 35-BO1589-,باكيت 1000 بذرة
بذور فلفل حلو برتقالي Arancia RZ,باكيت 1000 بذرة
بذور فلفل سناك ORANGE CREAM RZ,باكيت 1000 بذرة
بذور فلفل سناك احمر MINNUETO RZ,باكيت 1000 بذرة
بذور فلفل غزال Massouda RZ,باكيت 1000 بذرة
بذور فلفل لامويو Coaster,باكيت 1000 بذرة
بذور فلفل هنجاري CENTURY,باكيت 1000 بذرة
بذور قرع pumpkin,1 كغم
بذور كرات صنفMatisse,باكيت 2500 بذرة
بذور كرفس celery DAVID RZ,باكيت
بذور كرفس KELVIN RZ,باكيت 1000 بذرة
بذور كوسا Areej,باكيت 1000 بذرة
بذور كوسا CALABONITA RZ,باكيت 1000 بذرة
بذور كوسا Guttier,باكيت 1000 بذرة
بذور كوسا دائري GEODE,باكيت
بذور كوسا دائري SATELITE,باكيت
بذور متفرقة لتجارب المحطة,باكيت
بذور ملفوف احمر Redma RZ,باكيت 2500 بذرة
بذور ملفوف احمر صنف Red Carisma,باكيت 2500 بذرة
براغي تثبيت الشفرات,عدد
برست,1 لتر
"برغي تثبيت جير بكس 3/8""×1.5""",عدد
"برغي جنط (9/16"")",عدد
برغي وصامول وسطي,باكيت
بروتيك- زنك,5 لتر
بلاتين(ميكروسويتش),عدد
بلتانول,1 لتر
بلوف 5%,1 لتر
بندورة جاردينيا,باكيت
بنزول(50 مل),علبه
بوراجرو,5 لتر
بولدوك,1 لتر
بي اتش ماستر,1 لتر
بيتموس,عدد
بيتموس JIFFY 225L,عدد
بيجاسس,1 لتر
بيرغادو توب (250ml),علبه
بيرفكثيون,1 لتر
بيرلايت,عدد
بيرلكس,عدد
بيلكوت,باكيت (1/2 كغم)
بيمونت 500مل,علبه
بيندكس,1 كغم
بيومين زنك,5 لتر
بيوهيومص,5 كغم
تارجا( تايجر),1 لتر
تاليندو,1 لتر
تركتور زراعي,عدد
ترينيتي( بديل ستومب),1 لتر
تشجازول,علبه
تشينسا,1 لتر
تقاوي بطاطا,طن
تقاوي ثوم GARCUA,طن
تقاوي ثوم GARDOS,طن
تقاوي ثوم GARPIC,طن
توب جرين,1 كغم
توباز,1 لتر
توبسين,باكيت
توبينكو,1 لتر
توران,1 لتر
توري (بديل جول),شوال (25كغم )
تورينت,1 كغم
جرينون جولد 40/5/3,5 كغم
جرينون جولد40/5/3,1 كغم
جرينون جولد8/48/12,5 كغم
جرينون زنك,1 كغم
جرينون/حديد6%,1 كغم
جلايفوسيت,5 لتر
جنزارة,شوال (25كغم )
جومايت,1 لتر
جي زد (1لتر),1 لتر
جي زد(5لتر),5 لتر
جير بوكس U-760,عدد
جير موتور,عدد
حديد Redifer Plus,باكيت
خس Crunchy) CRUNCHITA,باكيت 5000 بذرة
خليط عناصر MAXI MIX,1 كغم
خيط تربيط ابيض برتغالي,عدد
دام اويل/زيت شتوي,جالون10لتر
داني كونج,علبه
دايفازول,1 لتر
دايفلكس (كبريت محبب),1 كغم
دايكوثين,1 كغم
دايمثويت,1 لتر
"دراي شفت 7/8""×60""",عدد
دريكسل كوب,1 كغم
دكساثرين (5%),1 لتر
دلتاجرو بلص 10% 500مل,علبه
دلتامثرين2.5%(دكسترين),1 لتر
دوريفو 250ml,علبه
دومينانت(2.5%),1 لتر
دي دي فاب,1 لتر
ديازينون سائل,1 لتر
ديازينون محبب 10%,1 كغم
ديسبر كومبلكس,1 كغم
ديفازول,1 لتر
ديفندر(250مل),علبه
ديفندر(كلوروبيرفوس) لتر,1 لتر
ديكارزول,باكيت (1/2 كغم)
دينيس ارابا,علبه
دينيم فت,علبه
ذره اسجرو,باكيت
راديكس- تم (5لتر),5 لتر
راسين,1 لتر
راوند اب,5 لتر
راوند اب /عبوة لتر,1 لتر
روبيلاكس 500مل,علبه
ريدوميل جولدرك,1 كغم
ريكوماتين 5% 250غم,علبه
رينوكارب,انبوب 750 غم
زنبرك مقص عنب,عدد
زنبرك مقص فسكو,عدد
زيت صيفي,جالون20لتر
سافيزون,1 لتر
سالفونال(كبريت سائل),1 لتر
سايكليت(بديل ايفيسكت),1 كغم
سايمو برو,1 كغم
ستومب,1 لتر
ستيموفوس,1 لتر
سلست,1 لتر
سلفاسايد,جالون10لتر
سلفاسايد (20لتر),جالون20لتر
سماد  DEEBAJ 12/12/36,شوال (25كغم )
سماد  DEEBAJ 20/20/20,شوال (25كغم )
سماد  MKP INFERT,شوال (25كغم )
سماد  OMNICAL,شوال (25كغم )
سماد 10/5/40 DEEEBAJ,شوال (25كغم )
سماد 14/40/5 KSC l,شوال (25كغم )
سماد 15/0/0/26,شوال (25كغم )
سماد 15/15/15 محبب,شوال (25كغم )
سماد 15/15/30 فان,شوال (25كغم )
سماد 16/8/24 green valley,شوال (25كغم )
سماد 17/10/27  DEEBAJ,شوال (25كغم )
سماد 17/44/0 يوريا فوسفيت,شوال (25كغم )
سماد 17/6/18+TE,شوال (25كغم )
سماد 18/44/0 سولوفيرتل,شوال (25كغم )
سماد 20/20/20 تيماسول,شوال (25كغم )
سماد 23/5/5/ KSC ll,شوال (25كغم )
سماد 27/0/3 Green Valley,شوال (25كغم )
سماد 30/10/10 DEEBAJ,شوال (25كغم )
سماد 30/12/10+TE,شوال (25كغم )
سماد 5/0/31 (50كغم),شوال (50 كغم )
سماد 6/20/30 Green Valley,شوال (25كغم )
سماد 8/16/42 KSC V,شوال (25كغم )
سماد DAP,شوال (50 كغم )
سماد DKP    0/15/20,جالون20لتر
سماد Green Valley 10/5/40,شوال (25كغم )
سماد green valley 12/12/36,شوال (25كغم )
سماد green valley 15/30/15,شوال (25كغم )
سماد Green Valley 17/10/27,شوال (25كغم )
سماد green valley 20/20/20,شوال (25كغم )
سماد green valley 20/20/20(10kg),شوال 10 كغم
سماد Green Valley 30/10/10,شوال (25كغم )
سماد KAPP سائل,جالون20لتر
سماد KTC سائل,جالون20لتر
سماد NPK 13/3/43,شوال (25كغم )
سماد Potato Foliar 10kg,شوال 10 كغم
سماد SOLAR 12/6/36,شوال (25كغم )
سماد SOLAR 15/7/30,شوال (25كغم )
سماد SOLAR 20/20/20,شوال (25كغم )
سماد Van 13/7/24+7Cao+2MgO,شوال (25كغم )
سماد اجري جولد 20/20/20,شوال (25كغم )
سماد اجري جولد 30/15/15,شوال (25كغم )
سماد اجري جولد 36/12/12,شوال (25كغم )
سماد اجري جولد بوتاسيوم نيتريت,شوال (25كغم )
سماد اجري جولد كالسيوم نيتريت,شوال (25كغم )
سماد اجري جولد ماب,شوال (25كغم )
سماد ادفرت 36/12/12,شوال (25كغم )
سماد ازو فيرتل 0/0/34,شوال (50 كغم )
سماد ام كي بي,شوال (25كغم )
سماد ام كي بي IQA fert,شوال (25كغم )
سماد ام كي بي فيتاس,شوال (25كغم )
سماد امونياك AGRI FERT,شوال (25كغم )
سماد امونياك AGRIBOND,شوال (25كغم )
سماد امونياك INFERT,شوال (25كغم )
سماد امونياك VAN,شوال (25كغم )
سماد امونياك اسباني,شوال (25كغم )
سماد امونياك بلجيكي,شوال (25كغم )
سماد امونياك صيني,شوال (50 كغم )
سماد امونيوم ثيو سلفيت,1 لتر
سماد بلانت كوت 14/8/14,شوال (25كغم )
سماد بلانت كوت 18/9/18,شوال (25كغم )
سماد بلانت كوت 18/9/18 (20كغم),شوال 20كغم
سماد بوتاسيوم سلفيت,شوال (25كغم )
سماد بوتاسيوم سلفيت,شوال (50 كغم )
سماد بوتاسيوم سلفيت / محبب,شوال (25كغم )
سماد بوتاسيوم سلفيت INFERT,شوال (25كغم )
سماد بوتاسيوم سلفيت SoluSop,شوال (25كغم )
سماد بوتاسيوم سلفيت بلجيكي,شوال (25كغم )
سماد بوتاسيوم سلفيت تايوان,شوال (25كغم )
سماد بوتاسيوم سلفيت فيتاس,شوال (25كغم )
سماد بوتاسيوم سلفيت(كيميرا),شوال (25كغم )
سماد بوتاسيوم نيتريت,شوال (25كغم )
سماد توب فيرت 7/0/42,شوال (25كغم )
سماد تيماسول 10/5/20,شوال (25كغم )
سماد تيماسول 10/52/10,شوال (25كغم )
سماد تيماسول 13/40/13,شوال (25كغم )
سماد تيماسول 15/15/30,شوال (25كغم )
سماد تيماسول 15/30/15,شوال (25كغم )
سماد تيماسول 20/10/20,شوال (25كغم )
سماد تيماسول 27/10/17,شوال (25كغم )
سماد تيماسول 28/14/14,شوال (25كغم )
سماد تيماسول 30/20/6,شوال (25كغم )
سماد تيماسول 36/12/12,شوال (25كغم )
سماد تيماسول 3MgO+24/8/13,شوال (25كغم )
سماد تيماسول 7CaO+28/7/14,شوال (25كغم )
سماد تيماك 10/5/40+1MgO,شوال (25كغم )
سماد تيماك 13/2/43+1MgO,شوال (25كغم )
سماد تيماك 18/18/5 محبب,شوال (25كغم )
سماد سائل 85%,جالون20لتر
سماد سائل هيوميفورت,1 لتر
سماد سلفات منغنيز,شوال (25كغم )
سماد فان 10/52/10,شوال (25كغم )
سماد فان 12/12/36,شوال (25كغم )
سماد فان 15/10/30,شوال (25كغم )
سماد فان 15/15/15,شوال (25كغم )
سماد فان 17/10/27,شوال (25كغم )
سماد فان 20/10/20,شوال (25كغم )
سماد فان 20/20/20,شوال (25كغم )
سماد فان 30/10/10,شوال (25كغم )
سماد فان 6/20/30,شوال (25كغم )
سماد فورت 31/0/5,شوال (25كغم )
سماد فورت بوتاسيوم سلفيت,شوال (25كغم )
سماد فوسكال 0/50/10+10Cao,شوال (25كغم )
سماد فيتاس جولد 4/3/3,شوال (25كغم )
سماد فيتاس كالسيوم -B,شوال (25كغم )
سماد فيتاس محبب 16/8/16,شوال (25كغم )
سماد فيتاسول  30/10/10,شوال (25كغم )
سماد فيتاسول 11/44/11,شوال (25كغم )
سماد فيتاسول 13/0/44,شوال (25كغم )
سماد فيتاسول 14/25/5,شوال (25كغم )
سماد فيتاسول 15/5/30,شوال (25كغم )
سماد فيتاسول 17/10/27,شوال (25كغم )
سماد فيتاسول 20/20/20,شوال (25كغم )
سماد فيتاسول 25/10/10,شوال (25كغم )
سماد فيتاسول 25/5/5,شوال (25كغم )
سماد كالسيوم-مغنيسيوم سلفيت,شوال (25كغم )
سماد كالسيوم 15.5/0/0/26,شوال (25كغم )
سماد كالسيوم نيتريت VITAS,شوال (25كغم )
سماد كالسيوم نيتريت سلوفاكي,شوال (25كغم )
سماد كالسيوم نيتريت فيتاس,شوال (25كغم )
سماد كالماج  DEEBAJ,شوال (25كغم )
سماد كالماج فان++,شوال (25كغم )
سماد كالماج فيتاس,شوال (25كغم )
سماد كنج 10/10/30,باكيت
سماد كنج 40/5/3,باكيت
سماد ماب ALKIFERT,شوال (25كغم )
سماد ماب ANFERT,شوال (25كغم )
سماد ماب NUTRIDROP,شوال (25كغم )
سماد ماب VAN IP,شوال (25كغم )
سماد ماب صيني,شوال (25كغم )
سماد ماب فيتاس,شوال (25كغم )
سماد محبب 12/12/17,شوال (25كغم )
سماد معلق انيرجي 12/61/0,شوال 20كغم
سماد معلق انيرجي 40/10/10,شوال 20كغم
سماد معلق انيرجي 5/50/30,شوال 20كغم
سماد مغنيسيوم سلفيت,طن
سماد مغنيسيوم سلفيت INFERT,شوال (25كغم )
سماد مغنيسيوم سلفيت VAN IP,شوال (25كغم )
سماد مغنيسيوم سلفيت اسباني,شوال (25كغم )
سماد مغنيسيوم سلفيت الماني,شوال (25كغم )
سماد مغنيسيوم سلفيت صيني,شوال (25كغم )
سماد مغنيسيوم سلفيت فان ايبرين(16),شوال (25كغم )
